abat-jour;JGC p.240;;;définition p.290;
alphabet, abécédaire;TDTR;ABC primers;JAL, AM, MT, TD;;
billet de complaisance;;accommodation bill (note);;;AM
étiquette de livre de comptes;(Rickards/Twyman);account-book label;;JAL, AM, MT;AM
comptes;TDTR;Accounts;JAL, AM, MT, TD;;
avis de réception ;(Kettridge 1973);acknowledgement of delivery;;Eng?;
;;acquaintance cards;JAL, MT;;
fiche d’activités;TDTR;Activity sheets;JAL, AM, MT, TD;;
addenda;TDTR;Addenda slips;JAL, AM, MT, TD;;
carnet d’adresse;TDTR;Address books;JAL, AM, MT, TD;;
étiquette d’adresse;TDTR;Address labels;JAL, AM, MT, TD;;
'liste d''adresses';TDTR;Address lists;JAL, AM, MT, TD;;
étiquette adhésive;(RT2000, Coulisses);adhesive label, sticker;;Delete sticker and autocollant. Check autocollant present elsewhere.;AM
billet d’entrée;(CC 28, 17) JGC p.76 (Afnor) JGC p.388;admission ticket ;;;MT
ticket d’entrée;TDTR, TLF;Admission tickets;JAL, AM, MT, TD;Notion de taille ticket/billet. Voir TLF ticket/billet.;
jaquette publicitaire;;advance jacket;;TD promotionnel;AM
calendrier de l’Avent;TDTR(CC 48, 12) (Coulisses) AM;Advent calendars;JAL, AM, MT, TD;;
publicité;TDTR;Advertisements;JAL, AM, MT, TD;;
almanach d’annonces;TDTR;Advertising almanacs;;'à ajouter: journal d''annonces';
bandeau publicitaire;(CC 66, 90);advertising banner;;TD;MT
buvard promotionnel, buvard publicitaire, buvard réclame;(CC 67, 40) (B);advertising blotter;;publicitaire?;MT
brochure publicitaire;TDTR (RT2000);Advertising booklets;JAL, AM, MT, TD;;
plaquette publicitaire;(Afnor);advertising brochure;;;
carte réclame (hist.) ;TDTR (CC 66, 9);Advertising cards;JAL, AM, MT, TD;query: harmonise usage réclame/publicitaire? Check presence of carte adresse (hist.);
présentoir promotionnel en tôle ;(65, 17);advertising display unit in metal;;(not in ET) ;MT
enveloppe publicitaire;TDTR (B);Advertising envelopes;JAL, AM, MT, TD;;MT
éventail promotionnel, éventail publicitaire;(CC 53, 17) (PL 1904) (CC 28, 30) (CC 7/12/07 p.17) JAL;advertising fan;;(not in ET as such) ;MT
jeton de jeu publicitaire;(CC 69, 18);advertising game piece?;;;MT
ballon gonflable publicitaire;(60, 31);advertising inflatable balloon;;(not in ET); MT
encart publicitaire;;advertising insert;;;AM
automate publicitaire;(41, 11);advertising mechanical;;(not in ET as such) ;MT
bloc-note promotionnel, bloc-vendeur;(CC 57, 14) (PL 1952);advertising note pad;;(not in ET) ;MT
;TDTR;Advertising novelties;JAL, AM, MT;'Pas d''équivalent trouvé en français';
sac en papier publicité ;(60, 29);advertising paper bag;;(under paper bags in ET);MT
carte (postale) promotionnelle;(CC 50, 44);advertising postcard;;;MT
présentoir [publicitaire];(CC 69, 19);advertising serving tray ?;;(not in ET) ;MT
timbre publicitaire;TDTR;Advertising stamps;JAL, AM, MT, TD;;
autocollant publicitaire;TDTR;Advertising stickers;JAL, AM, MT, TD;;
supplément publicitaire;TDTR;Advertising supplements;JAL, AM, MT, TD;;
jeton publicitaire;TDTR;Advertising token;JAL, AM, MT, TD;query token;
chromo publicitaire;TDTR (35, 20);Advertising trade cards;JAL, AM, MT, TD;;
'avis d''opéré (d''opération)';(Kettridge 1973);advice of deal;;;AM
